instance_name,cut_mode,initial_gap,final_gap,gap_closure,total_cuts,total_iterations,total_time_ms,final_status,solution_category
cap73,BEST,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap74,GFC,0.0,0.0,0.0,0,0,6,optimal,LP Ottimo Intero
cap74,GMI,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap74,BEST,0.0,0.0,0.0,0,0,4,optimal,LP Ottimo Intero
cap111,GFC,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,45,optimal,LP Ottimo Intero
cap111,GMI,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,49,optimal,LP Ottimo Intero
cap111,BEST,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,47,optimal,LP Ottimo Intero
cap112,GFC,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap112,GMI,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap112,BEST,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap113,GFC,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap113,GMI,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap113,BEST,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap114,GFC,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap114,GMI,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap114,BEST,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap121,GFC,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,44,optimal,LP Ottimo Intero
cap121,GMI,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,88,optimal,LP Ottimo Intero
cap121,BEST,1.467223558403477e-16,1.467223558403477e-16,0.0,0,0,48,optimal,LP Ottimo Intero
cap122,GFC,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,46,optimal,LP Ottimo Intero
cap122,GMI,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,60,optimal,LP Ottimo Intero
cap122,BEST,1.367186858329901e-16,1.367186858329901e-16,0.0,0,0,56,optimal,LP Ottimo Intero
cap123,GFC,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,83,optimal,LP Ottimo Intero
cap123,GMI,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,81,optimal,LP Ottimo Intero
cap123,BEST,1.3035310427147075e-16,1.3035310427147075e-16,0.0,0,0,81,optimal,LP Ottimo Intero
cap124,GFC,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,65,optimal,LP Ottimo Intero
cap124,GMI,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,43,optimal,LP Ottimo Intero
cap124,BEST,1.25320367856149e-16,1.25320367856149e-16,0.0,0,0,46,optimal,LP Ottimo Intero
cap41,GFC,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap41,GMI,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap41,BEST,1.2482667360800502e-16,1.2482667360800502e-16,0.0,0,0,6,optimal,LP Ottimo Intero
cap42,GFC,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap42,GMI,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap42,BEST,3.571754753386067e-16,3.571754753386067e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap43,GFC,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,3,optimal,LP Ottimo Intero
cap43,GMI,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,5,optimal,LP Ottimo Intero
cap43,BEST,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,4,optimal,LP Ottimo Intero
cap44,GFC,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap44,GMI,0.0,0.0,0.0,0,0,5,optimal,LP Ottimo Intero
cap44,BEST,0.0,0.0,0.0,0,0,3,optimal,LP Ottimo Intero
cap51,GFC,2.30379076233089e-16,2.30379076233089e-16,0.0,0,0,8,optimal,LP Ottimo Intero
